Code,Name,City,State
ANB,Anniston Municipal Airport,Anniston,AL
ASN,Talladega Municipal Airport,Talladega,AL
BHM,Birmingham International Airport,Birmingham,AL
DHN,Dothan Regional Airport,Dothan,AL
HSV,Huntsville International Airport,Huntsville,AL
MGM,Montgomery Regional Airport,Montgomery,AL
MOB,Mobile Regional Airport,Mobile,AL
MSL,Northwest Alabama Regional Airport,Muscle Shoals,AL
TCL,Tuscaloosa Regional Airport,Tuscaloosa,AL
BFM,Mobile Downtown Airport,Mobile,AL
0AK,Pilot Station Airport,Pilot Station,AK
16A,Nunapitchuk Airport,Nunapitchuk,AK
2A3,Larsen Bay Airport,Larsen Bay,AK
2A9,Kotlik Airport,Kotlik,AK
3A5,Marshall Don Hunter Sr,Marshall,AK
6R7,Old Harbor Airport,Old Harbor,AK
A61,Tuntutuliak Airport,Tuntutuliak,AK
A85,Kwigillingok Airport,Kwigillingok,AK
ADK,Adak Airport,Adak Island,AK
ADQ,Kodiak Airport,Kodiak,AK
AFM,Ambler Airport,Ambler,AK
AGN,Angoon Seaplane Base,Angoon,AK
AKN,King Salmon Airport,King Salmon,AK
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,AK
AKW,Klawock Airport,Klawock,AK
ANC,Anchorage International Airport,Anchorage,AK
ANI,Aniak Airport,Aniak,AK
AQH,Quinhagak Airport,Quinhagak,AK
AQT,Nuiqsut Airport,Nuiqsut,AK
ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,AK
AUK,Alakanuk Airport,Alakanuk,AK
AWI,Wainwright Airport,Wainwright,AK
BET,Bethel Airport,Bethel,AK
BIG,Allen Aaf Airport,Delta Junction Ft Greely,AK
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK
BTI,Barter Island LRRS Airport,Kaktovik,AK
BVK,Buckland Airport,Buckland,AK
CDB,Cold Bay Airport,Cold Bay,AK
CDV,Cordova Municipal Airport,Cordova,AK
CFK,Chefornak Airport,Chefornak,AK
CGA,Craig Airport,Craig,AK
D76,Robert (Bob) Curtis Memorial Airport,Noorvik,AK
DLG,Dillingham Airport,Dillingham,AK
DUT,Unalaska Airport,Unalaska,AK
DUY,Kongiganak Airport,Kongiganak,AK
