airport_name,airport_abbr,delay_sum,total_number_flights,perc_delay,avg_perc_delay,lat,lng
Aberdeen Regional Airport,ABR,112.01,808.0,0.1386262376237624,0.20823556298332133,45.4534583,-98.4177261
Abilene Regional Airport,ABI,498.96000000000004,2371.0,0.2104428511176719,0.20823556298332133,32.4118941,-99.6800464
Abraham Lincoln Capital Airport,SPI,464.04999999999995,1898.0,0.24449420442571126,0.20823556298332133,39.8435114,-89.67809629999999
Adak Airport,ADK,16.0,113.0,0.1415929203539823,0.20823556298332133,51.88,-176.6580556
Akron-Canton Airport,CAK,2054.05,7353.0,0.27934856521147833,0.20823556298332133,40.9153779,-81.4418833
Albany International Airport,ALB,2936.040000000001,13551.0,0.21666592871374812,0.20823556298332133,42.7487124,-73.8054981
Albuquerque International Sunport,ABQ,5223.969999999999,25528.0,0.20463686931996236,0.20823556298332133,35.0433333,-106.6129085
Alexandria International Airport,AEX,743.05,3536.0,0.21013857466063346,0.20823556298332133,31.3274112,-92.5451856
Alpena County Regional Airport,APN,116.0,677.0,0.17134416543574593,0.20823556298332133,45.0721958,-83.56359359999999
Amarillo International Airport,AMA,1342.99,5744.0,0.2338074512534819,0.20823556298332133,35.2203245,-101.7074509
Anchorage International Airport,ANC,3067.0700000000006,20532.0,0.1493799922072862,0.20823556298332133,61.17588629999999,-149.9900792
Arcata Airport,ACV,554.99,1958.0,0.2834473953013279,0.20823556298332133,40.9709197,-124.1065825
Arnold Palmer Regional Airport,LBE,253.01,1199.0,0.21101751459549625,0.20823556298332133,40.2730644,-79.4082315
Asheville Regional Airport,AVL,2179.0199999999995,9844.0,0.22135514018691585,0.20823556298332133,35.4348962,-82.53785409999999
Aspen-Pitkin County Airport,ASE,2254.0,7051.0,0.3196709686569281,0.20823556298332133,39.2196304,-106.8643335
Atlanta International Airport,ATL,65842.93000000001,425255.0,0.15483164219115592,0.20823556298332133,33.6407282,-84.4277001
Atlantic City International Airport,ACY,605.0,3391.0,0.17841344736066056,0.20823556298332133,39.4557779,-74.57251169999999
Augusta Regional Airport,AGS,934.99,5045.0,0.18533002973240834,0.20823556298332133,33.3688534,-81.9657651
Austin Straubel International Airport,GRB,1251.02,5615.0,0.22279964381121994,0.20823556298332133,44.4926999,-88.1271783
Austin-Bergstrom International Airport,AUS,14449.090000000002,70860.0,0.20391038667795655,0.20823556298332133,30.19747109999999,-97.66635289999999
Baltimore / Washington International Airport,BWI,20197.97,112429.0,0.17965089078440616,0.20823556298332133,39.1774042,-76.6683922
Bangor International Airport,BGR,999.98,4185.0,0.23894384707287933,0.20823556298332133,44.808176,-68.8165035
Barnstable Municipal Airport,HYA,19.0,87.0,0.21839080459770116,0.20823556298332133,41.6673379,-70.2847445
Baton Rouge International Airport,BTR,1820.99,8156.0,0.22326998528690534,0.20823556298332133,30.5323599,-91.15146100000001
Bellingham International Airport,BLI,331.99,2074.0,0.16007232401157184,0.20823556298332133,48.7955792,-122.5330642
Bemidji Regional Airport,BJI,101.0,804.0,0.1256218905472637,0.20823556298332133,47.5092442,-94.9329041
Bert Mooney Airport,BTM,35.01,734.0,0.0476975476839237,0.20823556298332133,45.9551935,-112.5021977
Bethel Airport,BET,98.98,897.0,0.11034559643255296,0.20823556298332133,60.77972200000001,-161.8377779
Billings Logan International Airport,BIL,688.03,4294.0,0.16023055426176058,0.20823556298332133,45.80350809999999,-108.5379142
Birmingham International Airport,BHM,4846.98,20928.0,0.2316026376146789,0.20823556298332133,33.56125,-86.75228
Bishop International Airport,FNT,793.99,3790.0,0.20949604221635884,0.20823556298332133,42.973423,-83.73889419999999
Bismarck Municipal Airport,BIS,868.03,4361.0,0.19904379729419858,0.20823556298332133,46.77518999999999,-100.7572447
Blue Grass Airport,LEX,2224.9800000000005,10254.0,0.21698654183733182,0.20823556298332133,38.03776149999999,-84.6026083
Boise Airport,BOI,3338.989999999999,20442.0,0.1633396927893552,0.20823556298332133,43.5658231,-116.2223159
Boston Logan International Airport,BOS,41067.01,160831.0,0.25534262673240854,0.20823556298332133,42.3656132,-71.0095602
Bozeman Gallatin Field Airport,BZN,1293.01,7154.0,0.18073944646351692,0.20823556298332133,45.7771073,-111.1532346
Bradley International Airport,BDL,6271.060000000002,31212.0,0.2009182365756761,0.20823556298332133,41.9388735,-72.68603139999999
Brainerd Lakes Regional Airport,BRD,102.02000000000001,686.0,0.14871720116618078,0.20823556298332133,46.3930459,-94.1412635
"Branson, MO: Branson Airport",BKG,58.0,217.0,0.2672811059907834,0.20823556298332133,36.5385446,-93.19907289999999
Brownsville/South Padre Island International Airport,BRO,662.01,2941.0,0.22509690581434885,0.20823556298332133,25.9063266,-97.4269855
Brunswick Golden Isles Airport,BQK,187.01,1121.0,0.1668242640499554,0.20823556298332133,31.2548331,-81.46691109999999
Buffalo Niagara International Airport,BUF,5898.979999999999,27661.0,0.2132598243013629,0.20823556298332133,42.9397059,-78.7295067
