year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,9,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",54,4,2.57,0,0.5,0,0.93,0,0,126,89,0,9,0,28
2019,9,9E,Endeavor Air Inc.,ACK,"Nantucket, MA: Nantucket Memorial",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,9,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",105,6,3.67,0.75,1.25,0,0.33,0,0,181,126,21,25,0,9
2019,9,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",130,13,7.06,2,3.22,0,0.72,0,0,481,269,94,76,0,42
2019,9,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",23,2,1.31,0,0.69,0,0,0,0,111,78,0,33,0,0
2019,9,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3072,224,55.94,10.47,57.73,0,99.85,8,7,18498,6909,1025,2631,0,7933
2019,9,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",52,5,0,0,5,0,0,0,0,215,0,0,215,0,0
2019,9,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",39,3,2.27,0,0.09,0,0.64,0,0,210,165,0,3,0,42
2019,9,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",140,10,6.17,0,3.22,0,0.61,0,0,514,359,0,127,0,28
2019,9,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",25,5,0,0,1.05,0,3.95,0,0,286,0,0,25,0,261
2019,9,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",110,22,6.13,1,6.54,0,8.33,0,0,1418,581,16,279,0,542
2019,9,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,9,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",47,7,3.8,0,0.3,0,2.9,0,0,546,351,0,20,0,175
2019,9,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",79,5,2.82,0,2.18,0,0,0,1,247,204,0,43,0,0
2019,9,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",93,9,2.21,1,3.51,0,2.28,1,0,553,160,48,226,0,119
2019,9,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",330,31,6.59,0,16.13,0,8.29,3,0,2505,481,0,1389,0,635
2019,9,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",161,8,2.95,0,2.08,0,2.97,0,2,371,185,0,50,0,136
2019,9,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",233,35,8.36,0,13.11,0,13.54,0,0,1909,566,0,488,0,855
2019,9,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",220,18,9.3,0.95,4.25,0,3.5,1,0,873,399,82,165,0,227
2019,9,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",222,17,4.04,0,4.31,0,8.65,1,0,1051,118,0,122,0,811
2019,9,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",22,1,1,0,0,0,0,0,0,33,33,0,0,0,0
2019,9,9E,Endeavor Air Inc.,CAK,"Akron, OH: Akron-Canton Regional",55,2,1,0,0,0,1,0,0,42,20,0,0,0,22
2019,9,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",69,6,1,1,2.03,0,1.98,0,0,1273,18,484,672,0,99
2019,9,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",171,22,7.97,1,4.14,0,8.89,0,2,3915,515,642,970,0,1788
2019,9,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",20,2,0,0,0,0,2,0,0,69,0,0,0,0,69
2019,9,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",114,10,2.64,0.98,3.38,0,3,0,1,556,280,42,157,0,77
2019,9,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",287,28,4.59,0.05,7.51,0,15.86,1,1,1685,215,7,285,0,1178
2019,9,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",192,21,2.31,0.76,6.7,0,11.23,1,0,900,124,52,286,0,438
2019,9,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,9,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",108,14,5.95,0.39,5.02,0,2.64,0,0,815,295,24,185,0,311
2019,9,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",961,117,29.27,2.91,23.88,0,60.94,4,0,11126,3261,635,1151,0,6079
2019,9,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",140,20,6.36,1,5.7,0,6.93,0,0,1118,289,112,153,0,564
2019,9,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",77,8,2.44,0,1.22,0,4.34,0,0,657,329,0,103,0,225
2019,9,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",183,6,2,0,1.5,0,2.5,1,0,421,156,0,47,0,218
2019,9,9E,Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",106,5,0,0,5,0,0,0,0,199,0,0,199,0,0
2019,9,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",266,25,9.32,1.43,6.99,0,7.26,0,0,1336,453,40,383,0,460
2019,9,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1482,124,36.03,7.32,36.86,0,43.79,5,2,8613,3259,827,1485,0,3042
2019,9,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",189,19,9.61,0.36,3.2,0,5.83,0,1,1598,561,40,132,0,865
2019,9,9E,Endeavor Air Inc.,EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",60,5,0.92,0.8,1.29,0,2,3,0,253,56,35,30,0,132
2019,9,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,9,9E,Endeavor Air Inc.,FNT,"Flint, MI: Bishop International",55,2,0.32,0,1.68,0,0,0,0,37,7,0,30,0,0
2019,9,9E,Endeavor Air Inc.,FWA,"Fort Wayne, IN: Fort Wayne International",23,2,2,0,0,0,0,0,0,73,73,0,0,0,0
2019,9,9E,Endeavor Air Inc.,GNV,"Gainesville, FL: Gainesville Regional",73,4,2.7,0.28,1.02,0,0,0,1,306,228,9,69,0,0
2019,9,9E,Endeavor Air Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",65,6,5.87,0,0,0,0.13,0,0,349,322,0,1,0,26
2019,9,9E,Endeavor Air Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",121,11,6.3,1.64,3.05,0,0,0,0,561,339,107,115,0,0
2019,9,9E,Endeavor Air Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",163,18,3.74,0,7.27,0,6.99,0,0,1031,252,0,257,0,522
2019,9,9E,Endeavor Air Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",48,5,0.84,0,2.2,0,1.96,1,0,1008,63,0,726,0,219
2019,9,9E,Endeavor Air Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",50,1,0,0,1,0,0,1,0,16,0,0,16,0,0
